reg,jam,sum_countd_device,wfh_date,sum_act_sec,sum_usage_wfh
1,0,174,27,1681920,"9,493,237,058"
1,1,120,27,782480,"2,361,563,604"
1,2,150,27,1483790,"5,252,580,092"
1,3,144,27,1439140,"4,657,000,137"
1,4,143,27,1386650,"4,906,004,078"
1,5,163,27,1645740,"5,367,978,071"
1,6,190,27,1974540,"7,903,248,583"
1,7,178,27,2366170,"11,591,328,299"
1,8,206,27,3037710,"15,725,537,737"
1,9,201,27,3055780,"21,532,558,643"
1,10,192,27,3013970,"22,287,260,437"
1,11,181,27,2985730,"26,358,260,475"
1,12,212,27,3101600,"23,841,998,315"
1,14,194,27,1876980,"13,319,117,484"
1,15,229,27,3640450,"19,432,391,689"
1,16,237,27,3798380,"19,139,229,381"
1,17,234,27,3749780,"20,294,349,889"
1,18,246,27,3734030,"20,708,621,275"
1,19,255,27,4058990,"21,859,778,862"
1,20,254,27,4229690,"25,571,784,274"
1,21,252,27,4522910,"37,721,212,691"
1,22,248,27,4276050,"45,606,384,881"
2,0,892,27,8804360,"47,342,660,478"
2,1,675,27,4716050,"23,151,116,333"
2,2,742,27,7751760,"40,945,910,280"
2,3,750,27,7133560,"33,245,176,602"
2,4,762,27,7376670,"29,400,243,261"
2,5,851,27,9212850,"35,515,146,492"
2,6,952,27,11559940,"50,696,573,016"
2,7,1010,27,13714100,"59,475,291,273"
2,8,1067,27,16504790,"70,667,994,076"
2,9,1065,27,18278180,"83,848,476,162"
2,10,1051,27,18732370,"76,699,459,163"
2,11,1029,27,18790830,"87,193,824,272"
2,12,1013,27,18070040,"75,960,859,078"
2,14,969,27,9829840,"49,175,828,933"
2,15,1009,27,18519060,"94,841,960,608"
2,16,1033,27,18707360,"88,856,293,981"
2,17,1046,27,18721850,"93,688,370,254"
2,18,1092,27,19071010,"87,946,803,710"
2,19,1142,27,19718360,"94,159,207,292"
2,20,1108,27,20149280,"92,713,454,138"
2,21,1089,27,19210190,"101,808,999,554"
2,22,1019,27,17417500,"104,161,391,616"
3,0,102,27,1127010,"7,318,270,948"
3,1,80,27,674570,"5,226,552,602"
3,2,91,27,1065290,"8,804,952,413"
3,3,112,27,1196510,"8,657,562,072"
3,4,119,27,1397130,"7,156,211,077"
3,5,137,27,1724150,"10,260,864,193"
3,6,148,27,2018490,"10,758,393,381"
3,7,170,27,2450270,"15,337,744,557"
